eval_i,winner,strategy,total,rounds
1,dealer,1,339,1
1,player,1,277,2
1,dealer,1,128,3
1,player,1,123,3
1,player,1,1,3
1,dealer,1,17,1
1,player,1,15,2
1,player,1,14,1
1,player,1,16,2
1,player,1,8,3
1,player,1,3,1
1,player,1,7,1
1,dealer,1,13,2
1,player,1,12,3
1,player,1,6,1
1,player,1,3,3
1,dealer,1,2,3
1,dealer,1,6,2
1,player,1,3,2
1,player,1,1,3
1,dealer,1,2,2
1,dealer,1,1,3
1,player,1,1,2
1,dealer,2,132,2
1,dealer,2,69,3
1,player,2,144,3
1,player,2,349,1
1,player,2,71,3
1,player,2,133,2
1,player,2,15,2
1,player,2,5,1
1,player,2,13,2
1,dealer,2,3,1
1,dealer,2,6,3
1,dealer,2,10,1
1,player,2,6,3
1,dealer,2,7,2
1,player,2,9,2
1,player,2,10,1
1,player,2,6,2
1,player,2,1,3
1,player,2,1,1
1,player,2,3,3
1,player,2,2,3
1,player,2,1,3
1,player,3,42,3
1,player,3,176,1
1,player,3,74,2
1,dealer,3,42,3
1,player,3,35,3
1,player,3,79,2
1,dealer,3,49,3
1,dealer,3,71,2
1,player,3,2,2
1,player,3,1,3
1,dealer,3,144,1
1,dealer,3,33,3
1,dealer,3,53,2
1,player,3,12,2
1,dealer,3,11,1
1,player,3,6,2
1,player,3,36,3
1,dealer,3,42,3
1,player,3,16,1
1,player,3,39,3
1,dealer,3,8,2
1,player,3,3,1
1,player,3,1,3
1,player,3,3,2
1,player,3,4,1
1,player,3,2,3
1,dealer,3,4,2
1,player,3,1,2
1,player,3,1,3
1,player,3,1,2
1,dealer,3,1,3
1,player,3,1,3
1,player,3,1,3
1,player,3,1,3
1,dealer,3,1,3
1,dealer,4,12,1
1,dealer,4,284,2
1,dealer,4,302,1
1,dealer,4,280,3
1,player,4,11,1
1,dealer,4,9,2
1,player,4,22,1
1,player,4,10,2
1,dealer,4,7,3
1,player,4,5,3
1,player,4,5,1
1,dealer,4,2,3
1,player,4,1,2
1,player,4,3,1
1,dealer,4,2,3
1,player,4,4,2
1,player,4,9,3
1,dealer,4,9,2
1,player,4,1,3
1,player,4,6,2
1,dealer,4,4,3
1,player,4,4,2
1,player,4,1,2
1,player,4,1,3
1,player,4,4,3
1,player,4,1,3
2,player,1,134,3
2,player,1,282,2
2,dealer,1,14,2
2,dealer,1,314,1
2,dealer,1,129,3
2,dealer,1,2,3
2,player,1,11,1
2,dealer,1,15,1
2,player,1,3,3
2,dealer,1,4,2
2,player,1,10,2
2,player,1,17,2
2,player,1,1,3
2,dealer,1,2,2
2,dealer,1,3,3
2,player,1,5,3
2,player,1,15,3
2,player,1,9,2
2,player,1,19,1
2,player,1,2,3
2,player,1,4,1
2,player,1,1,2
2,player,2,361,1
2,player,2,148,2
2,player,2,66,3
2,player,2,140,3
2,dealer,2,143,2
2,dealer,2,59,3
2,player,2,12,1
2,player,2,6,2
2,player,2,12,2
2,player,2,5,3
2,dealer,2,14,2
2,player,2,1,3
2,dealer,2,7,3
2,player,2,5,2
2,player,2,2,3
2,player,2,2,1
2,dealer,2,2,1
2,player,2,1,3
2,dealer,2,6,1
2,player,2,2,2
2,player,2,1,3
2,dealer,3,85,2
2,player,3,65,2
2,dealer,3,74,2
2,player,3,41,3
2,dealer,3,43,3
2,player,3,163,1
2,dealer,3,154,1
2,player,3,37,3
2,dealer,3,37,3
2,player,3,46,3
2,player,3,6,1
2,player,3,39,3
2,dealer,3,34,3
2,player,3,78,2
2,dealer,3,16,1
2,dealer,3,1,3
2,player,3,5,2
2,dealer,3,25,3
2,player,3,5,2
2,player,3,6,2
2,player,3,16,1
2,player,3,3,2
2,player,3,4,1
2,dealer,3,8,2
2,player,3,1,3
2,dealer,3,1,2
2,player,3,2,2
2,player,3,1,3
2,player,3,1,3
2,player,3,1,2
2,dealer,4,290,3
2,dealer,4,280,2
2,dealer,4,299,1
2,player,4,11,2
2,player,4,5,3
2,player,4,3,2
2,dealer,4,8,2
2,dealer,4,14,2
2,player,4,9,2
2,player,4,13,1
2,player,4,1,2
2,dealer,4,14,1
2,player,4,6,2
2,player,4,9,1
2,dealer,4,6,3
2,player,4,4,3
2,player,4,2,3
2,dealer,4,6,3
2,dealer,4,1,3
2,player,4,2,1
2,dealer,4,9,3
2,player,4,1,2
2,player,4,1,2
2,player,4,1,3
2,player,4,1,3
3,dealer,1,301,1
3,player,1,12,2
3,player,1,10,3
3,player,1,297,2
3,dealer,1,142,3
3,player,1,131,3
3,player,1,3,3
3,player,1,4,2
3,player,1,19,1
3,dealer,1,8,3
3,dealer,1,14,1
3,dealer,1,9,2
3,player,1,3,3
3,dealer,1,10,2
3,player,1,9,1
3,player,1,6,2
3,dealer,1,2,3
3,player,1,6,3
3,player,1,1,2
3,player,1,2,1
3,player,1,1,2
3,dealer,1,2,2
3,player,1,1,3
3,player,1,1,2
3,player,2,314,1
3,player,2,147,2
3,player,2,136,3
3,dealer,2,152,2
3,dealer,2,10,1
3,dealer,2,77,3
3,dealer,2,1,3
3,player,2,9,3
3,player,2,68,3
3,player,2,7,2
3,player,2,17,1
3,dealer,2,10,2
3,player,2,1,3
3,player,2,9,2
3,player,2,10,2
3,dealer,2,2,3
3,dealer,2,7,3
3,player,2,7,1
3,player,2,7,2
3,player,2,2,3
3,player,2,2,1
3,dealer,2,2,1
3,player,2,1,3
3,player,2,1,2
3,player,3,166,1
3,dealer,3,138,1
3,dealer,3,75,2
3,dealer,3,66,2
3,player,3,88,2
3,player,3,39,3
3,player,3,30,3
3,player,3,43,3
3,dealer,3,36,3
3,dealer,3,45,3
3,player,3,66,2
3,player,3,36,3
3,dealer,3,51,3
3,player,3,1,3
3,player,3,3,2
3,dealer,3,24,1
3,dealer,3,28,3
3,player,3,11,1
3,player,3,6,2
3,player,3,18,1
3,player,3,2,1
3,dealer,3,5,2
3,player,3,1,2
3,player,3,4,2
3,player,3,2,3
3,dealer,3,5,2
3,player,3,2,2
3,player,3,1,2
3,player,3,1,3
3,dealer,3,1,3
3,player,3,1,3
3,dealer,4,301,3
3,player,4,20,1
3,dealer,4,295,1
3,dealer,4,5,3
3,dealer,4,12,1
3,player,4,2,2
3,dealer,4,273,2
3,dealer,4,7,3
3,player,4,12,1
3,player,4,1,3
3,player,4,11,2
3,player,4,6,3
3,player,4,14,2
3,player,4,5,3
3,dealer,4,12,2
3,player,4,3,3
3,dealer,4,9,2
3,dealer,4,2,3
3,player,4,3,2
3,player,4,3,2
3,player,4,1,1
3,dealer,4,1,3
4,dealer,1,319,1
4,dealer,1,134,3
4,player,1,140,3
4,player,1,266,2
4,player,1,22,1
4,player,1,12,3
4,player,1,25,2
4,player,1,8,3
4,dealer,1,13,2
4,player,1,15,2
4,player,1,2,3
4,player,1,1,2
4,player,1,8,1
4,dealer,1,13,1
4,dealer,1,2,3
4,dealer,1,2,2
4,player,1,3,1
4,dealer,1,2,2
4,player,1,5,2
4,dealer,1,2,3
4,player,1,1,1
4,dealer,1,1,2
4,player,1,1,3
4,dealer,2,119,2
4,player,2,329,1
4,player,2,72,3
4,player,2,142,2
4,player,2,147,3
4,dealer,2,73,3
4,player,2,18,1
4,dealer,2,9,3
4,dealer,2,15,1
4,dealer,2,14,2
4,player,2,3,3
4,player,2,2,1
4,dealer,2,4,1
4,player,2,1,3
4,player,2,11,2
4,player,2,9,2
4,dealer,2,1,3
4,player,2,1,3
4,player,2,8,2
4,player,2,2,2
4,player,2,7,3
4,player,2,1,3
4,player,2,1,1
4,player,3,2,2
4,player,3,51,3
4,player,3,139,1
4,dealer,3,167,1
4,player,3,2,2
4,player,3,76,2
4,player,3,78,2
4,player,3,33,3
4,player,3,5,1
4,player,3,3,3
4,dealer,3,26,3
4,dealer,3,32,3
4,dealer,3,72,2
4,dealer,3,37,3
4,dealer,3,17,1
4,player,3,48,3
4,dealer,3,5,2
4,player,3,12,2
4,player,3,17,1
4,dealer,3,77,2
4,dealer,3,6,2
4,player,3,38,3
4,dealer,3,35,3
4,player,3,1,2
4,player,3,6,1
4,player,3,1,3
4,player,3,2,3
4,player,3,2,3
4,player,3,1,3
4,player,3,1,3
4,player,3,1,2
4,player,3,1,3
4,dealer,4,290,2
4,dealer,4,4,3
4,dealer,4,274,1
4,dealer,4,278,3
4,player,4,4,3
4,player,4,3,2
4,dealer,4,4,3
4,player,4,14,2
4,player,4,14,2
4,dealer,4,7,2
4,player,4,2,1
4,player,4,4,3
4,player,4,21,1
4,dealer,4,18,1
4,player,4,17,1
4,player,4,8,3
4,dealer,4,6,3
4,player,4,1,3
4,player,4,2,2
4,player,4,1,1
4,dealer,4,9,2
4,dealer,4,1,2
4,dealer,4,11,3
4,player,4,3,2
4,player,4,2,3
4,player,4,1,2
5,player,1,284,2
5,dealer,1,305,1
5,dealer,1,130,3
5,player,1,133,3
5,dealer,1,14,2
5,dealer,1,3,3
5,player,1,2,3
5,dealer,1,15,1
5,player,1,9,3
5,player,1,22,1
5,player,1,11,3
5,player,1,15,2
5,player,1,19,1
5,player,1,4,3
5,dealer,1,7,2
5,dealer,1,1,2
5,player,1,16,2
5,player,1,5,2
5,player,1,1,3
5,player,1,1,2
5,player,1,2,3
5,player,1,1,3
5,player,2,322,1
5,player,2,153,2
5,player,2,15,2
5,dealer,2,73,3
5,player,2,145,3
5,player,2,7,2
5,dealer,2,130,2
5,player,2,11,1
5,player,2,73,3
5,dealer,2,17,1
5,dealer,2,3,2
5,dealer,2,7,2
5,player,2,8,2
5,dealer,2,10,3
5,player,2,1,3
5,player,2,5,2
5,player,2,2,3
5,player,2,3,3
5,player,2,6,1
5,player,2,1,3
5,player,2,1,2
5,player,3,33,3
5,dealer,3,63,2
5,player,3,12,1
5,dealer,3,72,2
5,dealer,3,163,1
5,dealer,3,39,3
5,player,3,50,3
5,dealer,3,29,3
5,player,3,168,1
5,dealer,3,17,1
5,player,3,9,1
5,dealer,3,29,3
5,dealer,3,32,3
5,player,3,82,2
5,player,3,5,1
5,player,3,42,3
5,player,3,2,3
5,player,3,40,3
5,dealer,3,2,3
5,player,3,78,2
5,player,3,1,2
5,player,3,6,2
5,dealer,3,6,2
5,player,3,8,2
5,player,3,1,2
5,dealer,3,3,2
5,player,3,1,3
5,player,3,3,2
5,player,3,1,2
5,dealer,4,326,1
5,dealer,4,252,3
5,dealer,4,307,2
5,player,4,5,2
5,player,4,11,1
5,dealer,4,7,2
5,dealer,4,8,2
5,dealer,4,9,1
5,player,4,22,1
5,dealer,4,6,3
5,player,4,1,3
5,dealer,4,4,3
5,dealer,4,3,3
5,player,4,6,3
5,dealer,4,4,3
5,player,4,4,3
5,player,4,8,2
5,player,4,1,2
5,player,4,3,3
5,player,4,1,1
5,player,4,1,2
5,player,4,1,3
5,player,4,1,1
5,player,4,1,2
6,dealer,1,318,1
6,player,1,283,2
6,player,1,130,3
6,dealer,1,128,3
6,player,1,8,2
6,dealer,1,12,2
6,dealer,1,14,1
6,player,1,5,3
6,player,1,1,3
6,dealer,1,3,3
6,player,1,12,3
6,player,1,1,3
6,player,1,28,1
6,player,1,8,2
6,dealer,1,13,2
6,player,1,11,1
6,player,1,8,2
6,dealer,1,2,2
6,player,1,1,2
6,player,1,1,1
6,player,1,4,3
6,player,1,1,2
6,dealer,1,2,3
6,player,1,1,3
6,player,1,1,1
6,player,2,323,1
6,dealer,2,59,3
6,player,2,76,3
6,dealer,2,140,2
6,player,2,144,3
6,player,2,2,3
6,player,2,7,2
6,player,2,144,2
6,dealer,2,13,1
6,player,2,19,2
6,player,2,9,2
6,dealer,2,7,3
6,player,2,12,1
6,player,2,6,3
6,player,2,3,1
6,dealer,2,14,2
6,player,2,3,3
6,player,2,3,1
6,dealer,2,4,1
6,player,2,2,3
6,dealer,2,1,3
6,player,2,7,2
6,player,2,1,3
6,dealer,3,150,1
6,dealer,3,35,3
6,player,3,21,1
6,player,3,28,3
6,dealer,3,37,3
6,dealer,3,46,3
6,player,3,64,2
6,player,3,4,2
6,dealer,3,84,2
6,dealer,3,38,3
6,player,3,78,2
6,dealer,3,57,2
6,player,3,162,1
6,player,3,42,3
6,player,3,48,3
6,player,3,4,2
6,player,3,34,3
6,dealer,3,4,3
6,dealer,3,3,2
6,player,3,1,3
6,dealer,3,11,1
6,player,3,6,2
6,player,3,7,2
6,player,3,2,3
6,player,3,5,1
6,player,3,10,1
6,player,3,6,2
6,player,3,1,3
6,dealer,3,1,3
6,dealer,3,2,2
6,player,3,3,2
6,player,3,1,3
6,dealer,4,266,3
6,dealer,4,294,2
6,dealer,4,317,1
6,player,4,13,1
6,player,4,29,1
6,player,4,4,2
6,player,4,6,2
6,dealer,4,9,2
6,player,4,1,1
6,dealer,4,7,3
6,dealer,4,12,1
6,player,4,3,3
6,dealer,4,8,2
6,player,4,3,3
6,dealer,4,7,3
6,player,4,1,2
6,player,4,1,2
6,dealer,4,3,3
6,player,4,8,2
6,player,4,3,3
6,dealer,4,1,3
6,player,4,1,1
6,player,4,1,3
7,player,1,255,2
7,player,1,3,3
7,dealer,1,335,1
7,player,1,131,3
7,dealer,1,147,3
7,player,1,23,1
7,dealer,1,17,1
7,player,1,2,3
7,player,1,13,1
7,player,1,10,2
7,dealer,1,13,2
7,player,1,4,3
7,player,1,1,1
7,player,1,6,2
7,dealer,1,7,2
7,dealer,1,4,3
7,player,1,2,1
7,player,1,10,3
7,player,1,6,3
7,player,1,6,2
7,player,1,1,2
7,dealer,1,3,3
7,player,2,132,3
7,player,2,9,1
7,dealer,2,124,2
7,player,2,148,2
7,player,2,11,2
7,player,2,355,1
7,player,2,69,3
7,dealer,2,68,3
7,player,2,22,1
7,dealer,2,15,1
7,player,2,1,3
7,dealer,2,6,3
7,player,2,1,2
7,player,2,1,1
7,dealer,2,8,2
7,player,2,1,3
7,player,2,9,2
7,player,2,2,2
7,player,2,6,3
7,dealer,2,2,1
7,player,2,1,3
7,player,2,1,2
7,player,2,2,2
7,player,2,1,3
7,player,3,80,2
7,dealer,3,162,1
7,dealer,3,40,3
7,dealer,3,33,3
7,dealer,3,86,2
7,player,3,178,1
7,player,3,3,2
7,player,3,40,3
7,player,3,57,2
7,dealer,3,69,2
7,dealer,3,33,3
7,player,3,43,3
7,dealer,3,36,3
7,player,3,23,1
7,dealer,3,6,2
7,dealer,3,7,1
7,dealer,3,8,2
7,player,3,35,3
7,player,3,29,3
7,player,3,2,1
7,player,3,3,3
7,player,3,3,2
7,player,3,7,2
7,player,3,8,2
7,player,3,4,2
7,player,3,2,2
7,player,3,2,1
7,dealer,4,355,1
7,dealer,4,271,3
7,dealer,4,255,2
7,dealer,4,9,2
7,player,4,11,1
7,player,4,24,1
7,player,4,3,2
7,player,4,4,1
7,player,4,13,2
7,dealer,4,3,2
7,dealer,4,13,1
7,player,4,8,3
7,dealer,4,4,3
7,player,4,4,2
7,player,4,3,3
7,player,4,1,1
7,dealer,4,2,3
7,player,4,4,3
7,dealer,4,1,3
7,dealer,4,4,3
7,player,4,2,3
7,player,4,1,3
7,player,4,1,2
8,player,1,286,2
8,dealer,1,142,3
8,dealer,1,312,1
8,player,1,131,3
8,player,1,16,1
8,player,1,7,3
8,player,1,13,3
8,player,1,21,1
8,player,1,2,1
8,dealer,1,14,1
8,player,1,4,3
8,dealer,1,9,2
8,player,1,6,2
8,player,1,1,2
8,player,1,4,2
8,dealer,1,7,2
8,player,1,12,2
8,dealer,1,2,2
8,player,1,1,3
8,dealer,1,3,3
8,player,1,1,3
8,player,1,1,2
8,player,1,1,1
8,dealer,2,144,2
8,player,2,144,3
8,dealer,2,75,3
8,player,2,62,3
8,player,2,147,2
8,player,2,328,1
8,player,2,7,2
8,dealer,2,8,2
8,player,2,13,1
8,dealer,2,18,1
8,player,2,4,2
8,player,2,5,3
8,player,2,5,2
8,player,2,9,1
8,dealer,2,10,3
8,player,2,7,2
8,dealer,2,2,1
8,player,2,3,3
8,player,2,1,3
8,player,2,1,3
8,player,2,1,3
8,dealer,2,1,3
8,player,2,1,3
8,player,3,44,3
8,player,3,192,1
8,dealer,3,65,2
8,dealer,3,144,1
8,player,3,72,2
8,dealer,3,40,3
8,player,3,73,2
8,player,3,39,3
8,dealer,3,8,2
8,dealer,3,70,2
8,player,3,3,2
8,dealer,3,31,3
8,player,3,39,3
8,dealer,3,47,3
8,player,3,33,3
8,dealer,3,34,3
8,dealer,3,10,2
8,player,3,7,2
8,player,3,13,1
8,player,3,5,1
8,dealer,3,12,1
8,player,3,3,2
8,player,3,5,2
8,player,3,3,1
8,player,3,1,2
8,player,3,1,3
8,player,3,1,3
8,player,3,1,2
8,dealer,4,275,3
8,dealer,4,324,1
8,dealer,4,265,2
8,player,4,15,2
8,player,4,26,1
8,player,4,3,3
8,dealer,4,8,2
8,player,4,10,2
8,dealer,4,15,1
8,player,4,8,1
8,player,4,3,3
8,player,4,1,2
8,dealer,4,8,3
8,player,4,1,3
8,dealer,4,7,3
8,player,4,6,3
8,dealer,4,5,3
8,dealer,4,3,2
8,player,4,7,2
8,dealer,4,2,3
8,player,4,3,1
8,player,4,1,2
8,player,4,1,2
9,player,1,265,2
9,dealer,1,309,1
9,player,1,4,3
9,player,1,134,3
9,dealer,1,9,2
9,dealer,1,150,3
9,player,1,1,2
9,player,1,2,1
9,dealer,1,9,2
9,player,1,4,3
9,player,1,22,1
9,dealer,1,12,1
9,player,1,10,3
9,player,1,14,2
9,player,1,11,2
9,player,1,15,3
9,dealer,1,3,3
9,player,1,5,2
9,player,1,10,1
9,dealer,1,1,3
9,player,1,2,1
9,player,1,1,2
9,player,1,1,3
9,player,1,3,3
9,dealer,1,1,2
9,dealer,2,89,3
9,dealer,2,144,2
9,player,2,297,1
9,player,2,147,2
9,player,2,74,3
9,player,2,130,3
9,player,2,18,1
9,player,2,8,3
9,player,2,7,2
9,dealer,2,13,1
9,player,2,13,2
9,player,2,3,3
9,player,2,13,2
9,player,2,6,1
9,dealer,2,13,2
9,player,2,3,2
9,dealer,2,9,3
9,player,2,5,3
9,player,2,2,1
9,dealer,2,3,1
9,player,2,2,3
9,player,2,1,3
9,player,3,71,2
9,player,3,40,3
9,dealer,3,80,2
9,dealer,3,42,3
9,player,3,43,3
9,dealer,3,61,2
9,player,3,38,3
9,dealer,3,164,1
9,player,3,45,3
9,dealer,3,40,3
9,player,3,163,1
9,dealer,3,16,1
9,player,3,2,1
9,player,3,16,1
9,dealer,3,34,3
9,player,3,66,2
9,dealer,3,6,2
9,dealer,3,27,3
9,player,3,1,3
9,player,3,10,2
9,player,3,8,1
9,dealer,3,8,2
9,player,3,1,2
9,player,3,1,3
9,player,3,2,2
9,player,3,5,2
9,player,3,1,3
9,player,3,2,2
9,player,3,2,3
9,player,3,3,2
9,player,3,1,3
9,player,3,1,3
9,dealer,4,328,1
9,dealer,4,266,2
9,dealer,4,265,3
9,player,4,23,1
9,player,4,3,1
9,player,4,14,1
9,player,4,5,2
9,dealer,4,15,1
9,player,4,4,2
9,player,4,4,3
9,player,4,7,3
9,dealer,4,4,3
9,player,4,6,3
9,dealer,4,6,2
9,player,4,11,2
9,dealer,4,9,3
9,dealer,4,7,3
9,dealer,4,7,2
9,player,4,8,2
9,player,4,1,2
9,dealer,4,2,3
9,player,4,2,1
10,player,1,145,3
10,player,1,274,2
10,dealer,1,347,1
10,dealer,1,121,3
10,player,1,8,1
10,dealer,1,10,1
10,player,1,10,2
10,player,1,20,1
10,player,1,2,3
10,dealer,1,1,2
10,player,1,16,3
10,player,1,2,3
10,player,1,3,3
10,player,1,3,2
10,player,1,9,3
10,dealer,1,7,2
10,dealer,1,9,2
10,player,1,8,2
10,dealer,1,1,3
10,player,1,1,1
10,player,2,313,1
10,player,2,72,3
10,dealer,2,141,2
10,player,2,143,3
10,dealer,2,9,2
10,player,2,17,2
10,player,2,137,2
10,dealer,2,83,3
10,player,2,3,3
10,dealer,2,14,1
10,player,2,19,1
10,player,2,3,3
10,player,2,11,2
10,player,2,6,2
10,player,2,2,3
10,player,2,5,1
10,dealer,2,2,1
10,player,2,2,2
10,player,2,1,3
10,dealer,2,1,3
10,player,2,1,3
10,dealer,2,3,3
10,player,2,4,2
10,player,3,5,2
10,player,3,180,1
10,dealer,3,160,1
10,dealer,3,75,2
10,player,3,92,2
10,player,3,34,3
10,dealer,3,68,2
10,player,3,46,3
10,player,3,18,1
10,dealer,3,28,3
10,dealer,3,47,3
10,dealer,3,41,3
10,dealer,3,41,3
10,player,3,34,3
10,player,3,2,1
10,player,3,4,2
10,player,3,60,2
10,player,3,4,2
10,player,3,23,3
10,dealer,3,10,1
10,player,3,6,1
10,dealer,3,4,2
10,player,3,3,2
10,dealer,3,3,2
10,player,3,1,2
10,player,3,1,3
10,player,3,2,3
10,player,3,2,3
10,dealer,3,1,3
10,player,3,1,2
10,dealer,4,258,3
10,dealer,4,309,1
10,dealer,4,306,2
10,player,4,9,1
10,player,4,4,1
10,dealer,4,19,2
10,dealer,4,6,3
10,player,4,6,3
10,dealer,4,8,1
10,player,4,24,1
10,player,4,6,2
10,player,4,1,2
10,dealer,4,7,2
10,dealer,4,5,3
10,dealer,4,4,3
10,player,4,4,2
10,player,4,2,2
10,dealer,4,1,2
10,player,4,5,3
10,player,4,5,1
10,player,4,1,3
10,player,4,1,2
10,player,4,2,2
10,dealer,4,3,3
10,player,4,1,3
11,player,1,159,3
11,dealer,1,139,3
11,player,1,287,2
11,player,1,10,3
11,dealer,1,277,1
11,player,1,11,2
11,dealer,1,12,1
11,player,1,10,3
11,dealer,1,9,2
11,player,1,13,2
11,dealer,1,11,2
11,player,1,24,1
11,player,1,9,2
11,player,1,3,3
11,player,1,10,1
11,player,1,2,3
11,player,1,1,3
11,dealer,1,4,3
11,dealer,1,1,2
11,player,1,3,1
11,dealer,1,1,3
11,player,1,1,3
11,player,2,137,3
11,player,2,298,1
11,player,2,143,2
11,dealer,2,5,3
11,player,2,16,1
11,dealer,2,149,2
11,player,2,70,3
11,dealer,2,78,3
11,player,2,9,3
11,player,2,20,2
11,dealer,2,14,1
11,player,2,9,2
11,dealer,2,12,2
11,player,2,11,2
11,dealer,2,2,3
11,player,2,2,2
11,player,2,7,1
11,player,2,7,2
11,dealer,2,3,1
11,player,2,1,3
11,player,2,1,3
11,player,2,1,3
11,player,2,1,3
11,player,3,79,2
11,dealer,3,82,2
11,dealer,3,81,2
11,player,3,43,3
11,dealer,3,28,3
11,dealer,3,33,3
11,player,3,154,1
11,dealer,3,150,1
11,player,3,37,3
11,player,3,72,2
11,dealer,3,44,3
11,player,3,42,3
11,player,3,6,2
11,dealer,3,39,3
11,player,3,7,2
11,player,3,38,3
11,player,3,6,1
11,dealer,3,12,1
11,player,3,1,3
11,player,3,2,2
11,dealer,3,9,2
11,player,3,18,1
11,player,3,3,1
11,player,3,2,2
11,player,3,4,2
11,player,3,2,2
11,player,3,1,3
11,dealer,3,1,3
11,player,3,1,3
11,dealer,3,2,2
11,player,3,1,3
11,player,4,13,1
11,dealer,4,266,3
11,dealer,4,322,1
11,dealer,4,16,2
11,dealer,4,277,2
11,dealer,4,10,3
11,dealer,4,7,2
11,player,4,18,1
11,dealer,4,11,1
11,player,4,6,2
11,dealer,4,4,3
11,player,4,5,1
11,player,4,3,3
11,player,4,9,2
11,player,4,7,3
11,player,4,3,1
11,player,4,1,3
11,dealer,4,5,3
11,dealer,4,3,3
11,player,4,1,2
11,player,4,3,3
11,player,4,4,2
11,player,4,1,3
11,player,4,1,2
12,dealer,1,294,1
12,player,1,128,3
12,dealer,1,118,3
12,player,1,316,2
12,player,1,24,1
12,player,1,10,3
12,dealer,1,5,2
12,player,1,2,3
12,dealer,1,4,2
12,dealer,1,10,2
12,player,1,11,1
12,player,1,10,2
12,player,1,12,2
12,dealer,1,20,1
12,player,1,1,3
12,dealer,1,3,3
12,player,1,7,2
12,dealer,1,3,3
12,player,1,3,1
12,player,1,12,3
12,player,1,1,3
12,player,1,1,2
12,player,1,1,3
12,dealer,2,70,3
12,player,2,323,1
12,player,2,135,3
12,dealer,2,164,2
12,dealer,2,14,2
12,player,2,15,1
12,dealer,2,4,3
12,player,2,127,2
12,player,2,67,3
12,player,2,15,2
12,player,2,11,2
12,dealer,2,9,1
12,player,2,2,3
12,player,2,8,2
12,player,2,6,3
12,dealer,2,1,2
12,dealer,2,5,3
12,player,2,13,1
12,dealer,2,1,3
12,dealer,2,1,2
12,player,2,1,3
12,player,2,1,2
12,dealer,2,1,1
12,player,2,1,3
12,dealer,3,35,3
12,player,3,40,3
12,dealer,3,164,1
12,player,3,34,3
12,player,3,38,3
12,dealer,3,35,3
12,player,3,6,2
12,player,3,77,2
12,player,3,74,2
12,dealer,3,74,2
12,player,3,143,1
12,dealer,3,66,2
12,dealer,3,55,3
12,player,3,12,1
12,player,3,4,1
12,player,3,6,2
12,player,3,3,2
12,player,3,23,1
12,dealer,3,6,2
12,player,3,44,3
12,dealer,3,3,3
12,dealer,3,27,3
12,dealer,3,10,1
12,player,3,2,2
12,player,3,1,3
12,player,3,2,3
12,dealer,3,6,2
12,player,3,3,2
12,player,3,1,2
12,player,3,1,3
12,dealer,4,286,2
12,dealer,4,286,3
12,dealer,4,5,3
12,dealer,4,301,1
12,player,4,23,1
12,player,4,14,1
12,dealer,4,4,3
12,player,4,3,3
12,player,4,3,2
12,dealer,4,4,3
12,dealer,4,19,2
12,player,4,4,3
12,dealer,4,13,1
12,player,4,4,2
12,dealer,4,4,3
12,dealer,4,6,2
12,player,4,3,1
12,player,4,8,2
12,player,4,2,3
12,player,4,5,2
12,player,4,1,1
12,player,4,1,2
13,dealer,1,305,1
13,dealer,1,160,3
13,player,1,263,2
13,player,1,18,1
13,dealer,1,18,1
13,player,1,6,2
13,player,1,11,1
13,player,1,142,3
13,player,1,14,2
13,dealer,1,10,2
13,dealer,1,5,2
13,player,1,12,2
13,dealer,1,4,3
13,player,1,1,2
13,player,1,14,3
13,player,1,7,3
13,player,1,1,3
13,player,1,1,3
13,player,1,1,3
13,player,1,2,1
13,player,1,1,3
13,dealer,1,1,3
13,player,2,301,1
13,player,2,134,3
13,player,2,75,3
13,dealer,2,158,2
13,dealer,2,82,3
13,player,2,148,2
13,player,2,8,3
13,dealer,2,7,3
13,dealer,2,13,1
13,player,2,1,2
13,player,2,9,2
13,player,2,9,2
13,player,2,5,1
13,dealer,2,13,2
13,player,2,6,2
13,player,2,16,1
13,player,2,1,3
13,player,2,3,2
13,dealer,2,3,3
13,player,2,1,3
13,player,2,1,3
13,player,2,1,2
13,player,2,1,3
13,dealer,3,169,1
13,dealer,3,67,2
13,player,3,73,2
13,player,3,43,3
13,player,3,39,3
13,dealer,3,32,3
13,player,3,65,2
13,dealer,3,51,3
13,dealer,3,71,2
13,player,3,40,3
13,player,3,31,3
13,player,3,164,1
13,dealer,3,31,3
13,dealer,3,41,3
13,player,3,5,2
13,player,3,23,1
13,player,3,10,1
13,player,3,4,2
13,player,3,5,1
13,player,3,9,2
13,player,3,3,2
13,dealer,3,6,2
13,dealer,3,4,2
13,player,3,1,2
13,dealer,3,6,1
13,player,3,1,3
13,player,3,1,3
13,player,3,1,2
13,dealer,3,1,3
13,player,3,1,3
13,player,4,6,2
13,dealer,4,281,3
13,dealer,4,314,1
13,dealer,4,287,2
13,player,4,15,1
13,dealer,4,13,2
13,dealer,4,5,2
13,player,4,17,1
13,dealer,4,9,1
13,player,4,7,2
13,dealer,4,6,3
13,dealer,4,2,3
13,player,4,6,3
13,player,4,1,2
13,player,4,9,2
13,dealer,4,5,3
13,player,4,3,3
13,player,4,3,3
13,dealer,4,5,3
13,dealer,4,1,2
13,player,4,1,1
13,player,4,3,2
13,player,4,1,1
14,dealer,1,137,3
14,dealer,1,307,1
14,player,1,136,3
14,player,1,288,2
14,player,1,9,3
14,player,1,17,1
14,player,1,7,3
14,player,1,8,2
